ts,followers,text_len,likes_mid,rts_mid,replies_mid,likes_low,likes_high,rts_low,rts_high,replies_low,replies_high,feat_ms,ml_ms,persona_ms,calibration_ms,scaling_ms,ranges_ms,predict_blended_total_ms,route_total_ms,models_likes,models_retweets,models_replies,weights_mode
2025-08-15T02:33:45Z,140000,125,87,23,8,31,150,8,38,2,16,6265,255,11171,62,0,1259,17754,19017,NEW,NEW,NEW,dynamic
2025-08-15T02:34:15Z,140000,116,76,20,7,21,138,6,34,0,15,2289,131,8750,55,0,956,11226,12185,NEW,NEW,NEW,dynamic
2025-08-15T02:34:58Z,140000,179,77,26,7,24,130,9,43,0,11,3173,181,23325,105,0,1244,26786,28035,NEW,NEW,NEW,dynamic
2025-08-15T02:35:29Z,140000,230,76,21,7,20,139,7,35,4,12,3406,207,11298,50,0,1064,14962,16029,NEW,NEW,NEW,dynamic
2025-08-15T02:36:01Z,140000,58,149,27,13,111,187,11,43,8,16,2710,237,11588,124,0,1632,14660,16297,NEW,NEW,NEW,dynamic
2025-08-15T02:45:55Z,140000,58,149,27,13,111,187,11,43,8,16,4064,133,4174,58,0,984,8431,9418,NEW,NEW,NEW,dynamic
2025-08-15T02:48:22Z,140000,481,67,21,6,16,124,6,36,0,13,5964,251,18283,55,0,1121,24555,25679,NEW,NEW,NEW,dynamic
2025-08-15T02:52:02Z,140000,460,67,21,6,16,124,6,36,0,13,6343,258,36665,64,0,929,43331,44263,NEW,NEW,NEW,dynamic
2025-08-15T02:53:53Z,140000,461,67,21,6,16,124,6,36,0,13,6022,231,15002,63,0,877,21320,22200,NEW,NEW,NEW,dynamic
2025-08-15T02:54:17Z,140000,58,149,27,13,111,187,11,43,8,16,2834,205,6891,50,0,903,9981,10886,NEW,NEW,NEW,dynamic
2025-08-15T02:54:49Z,140000,238,78,15,7,25,138,4,26,5,11,4820,289,13538,48,0,1053,18697,19753,NEW,NEW,NEW,dynamic
2025-08-15T02:55:18Z,140000,120,87,23,8,34,154,8,42,2,13,3102,233,13353,61,0,1123,16750,17876,NEW,NEW,NEW,dynamic
2025-08-15T02:55:43Z,140000,83,94,21,8,40,155,7,35,0,17,2184,145,5261,63,0,950,7654,8607,NEW,NEW,NEW,dynamic
2025-08-15T02:58:01Z,140000,74,156,27,14,99,250,11,47,12,16,2876,216,12424,100,0,1547,15617,17168,NEW,NEW,NEW,dynamic
2025-08-15T03:02:57Z,140000,73,200,33,17,160,320,15,56,15,19,5519,243,10375,105,0,1370,16244,17618,NEW,NEW,NEW,dynamic
2025-08-15T03:03:20Z,140000,83,101,23,9,49,161,8,38,0,17,2930,212,12293,131,0,1324,15569,16897,NEW,NEW,NEW,dynamic
2025-08-15T03:03:48Z,140000,120,156,26,14,56,282,10,46,12,16,2780,211,18669,98,0,1257,21759,23020,NEW,NEW,NEW,dynamic
2025-08-15T03:04:29Z,140000,239,110,18,10,47,182,5,31,6,18,2908,197,12925,62,0,1102,16095,17200,NEW,NEW,NEW,dynamic
2025-08-15T03:06:50Z,140000,230,102,23,9,50,162,8,38,7,14,2892,212,10582,60,0,886,13748,14638,NEW,NEW,NEW,dynamic
2025-08-15T03:36:36Z,140000,18,171,33,15,117,236,8,58,8,26,11716,91,1500,36,0,2579,13345,15947,NEW,NEW,NEW,dynamic
2025-08-15T03:36:52Z,140000,3,203,60,18,155,251,29,91,3,22,2253,109,722,46,0,837,3131,3970,NEW,NEW,NEW,dynamic
2025-08-15T03:37:34Z,140000,222,114,22,10,51,186,8,36,8,15,2479,107,7598,34,0,847,10220,11068,NEW,NEW,NEW,dynamic
2025-08-15T03:37:57Z,140000,63,199,36,17,157,318,17,61,15,26,2148,62,3580,28,0,835,5820,6657,NEW,NEW,NEW,dynamic
2025-08-15T03:38:24Z,140000,205,104,23,9,37,171,8,38,7,11,2177,68,8526,33,0,809,10805,11616,NEW,NEW,NEW,dynamic
